year,sex,name,count,population
1900,Female,Mary,16706,76090000
1900,Male,John,9829,76090000
1901,Female,Mary,13136,77580000
1901,Male,John,6900,77580000
1902,Female,Mary,14486,79160000
1902,Male,John,7907,79160000
1903,Female,Mary,14275,80630000
1903,Male,John,7608,80630000
1904,Female,Mary,14961,82170000
1904,Male,John,8108,82170000
1905,Female,Mary,16067,83820000
1905,Male,John,8060,83820000
1906,Female,Mary,16370,85450000
1906,Male,John,8265,85450000
1907,Female,Mary,17580,87010000
1907,Male,John,8983,87010000
1908,Female,Mary,18665,88710000
1908,Male,John,9342,88710000
1909,Female,Mary,19259,90490000
1909,Male,John,9591,90490000
1910,Female,Mary,22848,92410000
1910,Male,John,11450,92410000
1911,Female,Mary,24390,93860000
1911,Male,John,13446,93860000
1912,Female,Mary,32304,95330000
1912,Male,John,24587,95330000
1913,Female,Mary,36642,97220000
1913,Male,John,29329,97220000
1914,Female,Mary,45345,99110000
1914,Male,John,37948,99110000
1915,Female,Mary,58187,100550000
1915,Male,John,47576,100550000
1916,Female,Mary,61438,101960000
1916,Male,John,50043,101960000
1917,Female,Mary,64281,103270000
1917,Male,John,51853,103270000
1918,Female,Mary,67366,103210000
1918,Male,John,56558,103210000
1919,Female,Mary,65838,104510000
1919,Male,John,53528,104510000
1920,Female,Mary,70982,106460000
1920,Male,John,56913,106460000
1921,Female,Mary,73985,108540000
1921,Male,John,58217,108540000
1922,Female,Mary,72173,110050000
1922,Male,John,57277,110050000
1923,Female,Mary,71638,111950000
1923,Male,John,57470,111950000
1924,Female,Mary,73534,114110000
1924,Male,Robert,60801,114110000
1925,Female,Mary,70591,115830000
1925,Male,Robert,60897,115830000
1926,Female,Mary,67832,117400000
1926,Male,Robert,61130,117400000
1927,Female,Mary,70639,119040000
1927,Male,Robert,61669,119040000
1928,Female,Mary,66872,120510000
1928,Male,Robert,60699,120510000
1929,Female,Mary,63508,121770000
1929,Male,Robert,59798,121770000
1930,Female,Mary,64146,123080000
1930,Male,Robert,62149,123080000
1931,Female,Mary,60296,124040000
1931,Male,Robert,60508,124040000
1932,Female,Mary,59874,124840000
1932,Male,Robert,59266,124840000
1933,Female,Mary,55509,125580000
1933,Male,Robert,54218,125580000
1934,Female,Mary,56929,126370000
1934,Male,Robert,55829,126370000
1935,Female,Mary,55069,127250000
1935,Male,Robert,56524,127250000
1936,Female,Mary,54372,128050000
1936,Male,Robert,58492,128050000
1937,Female,Mary,55645,128820000
1937,Male,Robert,61835,128820000
1938,Female,Mary,56215,129820000
1938,Male,Robert,62268,129820000
1939,Female,Mary,54901,130880000
1939,Male,Robert,59645,130880000
1940,Female,Mary,56203,132120000
1940,Male,James,62473,132120000
1941,Female,Mary,58040,133400000
1941,Male,James,66736,133400000
1942,Female,Mary,63254,134860000
1942,Male,James,77176,134860000
1943,Female,Mary,66169,136740000
1943,Male,James,80261,136740000
1944,Female,Mary,62467,138400000
1944,Male,James,76951,138400000
1945,Female,Mary,59283,139930000
1945,Male,James,74449,139930000
1946,Female,Mary,67467,141390000
1946,Male,James,87436,141390000
1947,Female,Linda,99689,144130000
1947,Male,James,94757,144130000
1948,Female,Linda,96211,146630000
1948,Male,James,88584,146630000
1949,Female,Linda,91016,149190000
1949,Male,James,86857,149190000
1950,Female,Linda,80431,152270000
1950,Male,James,86224,152270000
1951,Female,Linda,73978,154880000
1951,Male,James,87261,154880000
1952,Female,Linda,67082,157550000
1952,Male,James,87063,157550000
1953,Female,Mary,64379,160180000
1953,Male,Robert,86256,160180000
1954,Female,Mary,68007,163030000
1954,Male,Michael,88528,163030000
1955,Female,Mary,63165,165930000
1955,Male,Michael,88327,165930000
1956,Female,Mary,61756,168900000
1956,Male,Michael,90656,168900000
1957,Female,Mary,61094,171980000
1957,Male,Michael,92704,171980000
1958,Female,Mary,55857,174880000
1958,Male,Michael,90517,174880000
1959,Female,Mary,54474,177830000
1959,Male,Michael,85251,177830000
1960,Female,Mary,51475,180670000
1960,Male,David,85929,180670000
1961,Female,Mary,47680,183690000
1961,Male,Michael,86917,183690000
1962,Female,Lisa,46078,186540000
1962,Male,Michael,85034,186540000
1963,Female,Lisa,56040,189240000
1963,Male,Michael,83782,189240000
1964,Female,Lisa,54275,191890000
1964,Male,Michael,82646,191890000
1965,Female,Lisa,60269,194300000
1965,Male,Michael,81021,194300000
1966,Female,Lisa,56914,196560000
1966,Male,Michael,79990,196560000
1967,Female,Lisa,52435,198710000
1967,Male,Michael,82436,198710000
1968,Female,Lisa,49532,200710000
1968,Male,Michael,82008,200710000
1969,Female,Lisa,45029,202680000
1969,Male,Michael,85203,202680000
1970,Female,Jennifer,46157,205050000
1970,Male,Michael,85302,205050000
1971,Female,Jennifer,56783,207660000
1971,Male,Michael,77594,207660000
1972,Female,Jennifer,63603,209900000
1972,Male,Michael,71405,209900000
1973,Female,Jennifer,62447,211910000
1973,Male,Michael,67847,211910000
1974,Female,Jennifer,63114,213850000
1974,Male,Michael,67578,213850000
1975,Female,Jennifer,58183,215970000
1975,Male,Michael,68454,215970000
1976,Female,Jennifer,59474,218040000
1976,Male,Michael,66954,218040000
1977,Female,Jennifer,58964,220240000
1977,Male,Michael,67616,220240000
1978,Female,Jennifer,56321,222580000
1978,Male,Michael,67158,222580000
1979,Female,Jennifer,56717,225060000
1979,Male,Michael,67739,225060000
1980,Female,Jennifer,58375,227220000
1980,Male,Michael,68696,227220000
1981,Female,Jennifer,57049,229470000
1981,Male,Michael,68763,229470000
1982,Female,Jennifer,57117,231660000
1982,Male,Michael,68235,231660000
1983,Female,Jennifer,54346,233790000
1983,Male,Michael,68000,233790000
1984,Female,Jennifer,50559,235820000
1984,Male,Michael,67741,235820000
1985,Female,Jessica,48347,237920000
1985,Male,Michael,64912,237920000
1986,Female,Jessica,52677,240130000
1986,Male,Michael,64208,240130000
1987,Female,Jessica,55994,242290000
1987,Male,Michael,63655,242290000
1988,Female,Jessica,51543,244500000
1988,Male,Michael,64143,244500000
1989,Female,Jessica,47884,246820000
1989,Male,Michael,65389,246820000
1990,Female,Jessica,46475,249620000
1990,Male,Michael,65290,249620000
1991,Female,Ashley,43478,252980000
1991,Male,Michael,60785,252980000
1992,Female,Ashley,38453,256510000
1992,Male,Michael,54392,256510000
1993,Female,Jessica,34987,259920000
1993,Male,Michael,49549,259920000
1994,Female,Jessica,32117,263130000
1994,Male,Michael,44469,263130000
1995,Female,Jessica,27938,266279999
1995,Male,Michael,41402,266279999
1996,Female,Emily,25151,269390000
1996,Male,Michael,38364,269390000
1997,Female,Emily,25732,272650000
1997,Male,Michael,37549,272650000
1998,Female,Emily,26182,275850000
1998,Male,Michael,36615,275850000
1999,Female,Emily,26539,279040000
1999,Male,Jacob,35363,279040000
2000,Female,Emily,25956,282160000
2000,Male,Jacob,34477,282160000
2001,Female,Emily,25057,284970000
2001,Male,Jacob,32545,284970000
2002,Female,Emily,24464,287630000
2002,Male,Jacob,30574,287630000
2003,Female,Emily,25691,290110000
2003,Male,Jacob,29638,290110000
2004,Female,Emily,25037,292810000
2004,Male,Jacob,27881,292810000
2005,Female,Emily,23940,295520000
2005,Male,Jacob,25833,295520000
2006,Female,Emily,21404,298380000
2006,Male,Jacob,24845,298380000
2007,Female,Emily,19355,301230000
2007,Male,Jacob,24282,301230000
2008,Female,Emma,18813,304090000
2008,Male,Jacob,22594,304090000
2009,Female,Isabella,22306,306770000
2009,Male,Jacob,21175,306770000
2010,Female,Isabella,22913,309330000
2010,Male,Jacob,22127,309330000
2011,Female,Sophia,21842,311580000
2011,Male,Jacob,20371,311580000
2012,Female,Sophia,22313,313870000
2012,Male,Jacob,19074,313870000
2013,Female,Sophia,21223,316060000
2013,Male,Noah,18257,316060000
2014,Female,Emma,20936,318390000
2014,Male,Noah,19305,318390000
2015,Female,Emma,20455,320740000
2015,Male,Noah,19635,320740000
2016,Female,Emma,19496,323070000
2016,Male,Noah,19117,323070000
2017,Female,Emma,19800,325150000
2017,Male,Liam,18798,325150000
2018,Female,Emma,18688,327170000
2018,Male,Liam,19837,327170000
